player_id,player_name,bat_style,bowl_style,field_pos
6730,Mohsin Khan,Left hand Bat,Left arm Medium fast,Unknown
22,Rashid Khan,Right hand Bat,Legbreak Googly, 
590,K Rabada,Left hand Bat,Right arm Fast, 
1424,SN Khan,Right hand Bat,Legbreak, 
963,MN Samuels,Right hand Bat,Right arm Offbreak, 
53,SB Jakati,Left hand Bat,Slow Left arm Orthodox, 
12,DA Warner,Left hand Bat,Legbreak, 
73,MP Stoinis,Right hand Bat,Right arm Medium, 
1119,R Tewatia,Left hand Bat,Legbreak, 
268,RA Tripathi,Right hand Bat,Right arm Medium, 
163,RD Chahar,Right hand Bat,Legbreak Googly, 
186,S Nadeem,Right hand Bat,Slow Left arm Orthodox, 
59,MK Pandey,Right hand Bat,Right arm Medium, 
531,KS Williamson,Right hand Bat,Right arm Offbreak, 
56,G Gambhir,Left hand Bat,Legbreak, 
39,MK Tiwary,Right hand Bat,Legbreak Googly, 
68,M Vohra,Right hand Bat,Right arm Medium, 
638,NB Singh,Right hand Bat,Right arm Medium, 
40,R Bhatia,Right hand Bat,Right arm Medium fast, 
1233,SS Tiwary,Left hand Bat, , 
1396,MA Wood,Right hand Bat,Right arm Fast, 
47,SK Raina,Left hand Bat,Right arm Offbreak, 
1242,R Vinay Kumar,Right hand Bat,Right arm Medium, 
541,SE Marsh,Left hand Bat,Slow Left arm Orthodox, 
6,Sachin Baby,Left hand Bat,Right arm Offbreak, 
525,J Yadav,Right hand Bat,Right arm Offbreak, 
70,AR Patel,Left hand Bat,Slow Left arm Orthodox, 
63,PP Chawla,Left hand Bat,Legbreak, 
30,HH Pandya,Right hand Bat,Right arm Medium fast, 
36,SPD Smith,Right hand Bat,Legbreak Googly, 
55,S Kaushik,Right hand Bat,Left arm Wrist spin, 
52,P Kumar,Right hand Bat,Right arm Medium, 
41,DL Chahar,Right hand Bat,Right arm Medium, 
1429,K Khejroliya,Left hand Bat,Left arm Medium fast, 
32,MJ McClenaghan,Left hand Bat,Left arm Fast medium, 
457,AD Mathews,Right hand Bat,Right arm Medium, 
1286,Avesh Khan,Right hand Bat,Right arm Fast medium, 
45,JJ Roy,Right hand Bat, , 
43,AB Dinda,Right hand Bat,Right arm Medium fast, 
579,Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox, 
1448,K Gowtham,Right hand Bat,Right arm Offbreak, 
72,DA Miller,Left hand Bat,Right arm Offbreak, 
60,YK Pathan,Right hand Bat,Right arm Offbreak, 
7,STR Binny,Right hand Bat,Right arm Medium, 
3,TM Head,Left hand Bat,Right arm Offbreak,Wicketkeeper
173,Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox, 
15,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox, 
74,Swapnil Singh,Right hand Bat,Slow Left arm Orthodox, 
760,MJ Guptill,Right hand Bat,Right arm Offbreak, 
182,CH Morris,Right hand Bat,Right arm Fast medium, 
361,LH Ferguson,Right hand Bat,Right arm Fast, 
1285,HV Patel,Right hand Bat,Right arm Medium, 
1449,S Gopal,Right hand Bat,Legbreak, 
405,KC Cariappa,Right hand Bat,Legbreak, 
196,Basil Thampi,Right hand Bat,Right arm Fast medium, 
744,AR Bawne,Right hand Bat,Right arm Offbreak, 
676,KV Sharma,Left hand Bat,Legbreak Googly, 
171,Vishnu Vinod,Right hand Bat, ,Wicketkeeper
332,V Kohli,Right hand Bat,Right arm Medium, 
28,KH Pandya,Left hand Bat,Slow Left arm Orthodox, 
448,AF Milne,Right hand Bat,Right arm Fast, 
20,B Kumar,Right hand Bat,Right arm Medium, 
347,Ishan Kishan,Left hand Bat, ,Wicketkeeper
65,SP Narine,Left hand Bat,Right arm Offbreak, 
359,Ankit Sharma,Left hand Bat,Slow Left arm Orthodox, 
187,Z Khan,Right hand Bat,Left arm Fast medium, 
185,A Mishra,Right hand Bat,Legbreak, 
726,Ankit Soni,Right hand Bat,Legbreak, 
197,Tejas Baroka,Right hand Bat,Legbreak Googly, 
5,SR Watson,Right hand Bat,Right arm Fast medium, 
460,Mohammed Shami,Right hand Bat,Right arm Fast, 
351,AJ Tye,Right hand Bat,Right arm Medium fast, 
1393,DJ Bravo,Right hand Bat,Right arm Medium, 
177,AP Tare,Right hand Bat, ,Wicketkeeper
7539,B Indrajith,Right hand Bat,Legbreak Googly, 
4063,T Banton,Right hand Bat, ,Wicketkeeper
6115,K Yadav,Left hand Bat,Left arm Fast medium, 
3649,AS Roy,Left hand Bat,Slow Left arm Orthodox, 
5407,M Shahrukh Khan,Right hand Bat,Right arm Offbreak, 
4960,MR Marsh,Right hand Bat,Right arm Medium, 
6761,R Shepherd,Right hand Bat,Right arm Fast medium, 
8321,Rahmanullah Gurbaz,Right hand Bat, ,Wicketkeeper
7751,SA Abbott,Right hand Bat,Right arm Fast medium, 
7302,OC McCoy,Left hand Bat,Left arm Fast medium, 
4970,P Dubey,Right hand Bat,Legbreak Googly, 
8355,Mukesh Kumar,Right hand Bat,Right arm Medium, 
3451,DW Steyn,Right hand Bat,Right arm Fast, 
5411,RP Meredith,Right hand Bat,Right arm Fast, 
4098,JO Holder,Right hand Bat,Right arm Medium fast, 
7895,R Sai Kishore,Left hand Bat,Slow Left arm Orthodox, 
1805,RK Bhui,Right hand Bat,Legbreak Googly, 
6054,AK Markram,Right hand Bat,Right arm Offbreak, 
6710,Akash Deep,Right hand Bat,Right arm Fast medium, 
5976,KS Bharat,Right hand Bat, ,Wicketkeeper
6681,Tilak Varma,Left hand Bat,Right arm Offbreak, 
4119,RD Gaikwad,Right hand Bat,Right arm Offbreak, 
6739,A Manohar,Right hand Bat,Legbreak Googly, 
7843,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium, 
7083,KR Sen,Right hand Bat,Right arm Fast, 
3747,P Simran Singh,Right hand Bat, ,Wicketkeeper
5343,M Jansen,Right hand Bat,Left arm Medium fast, 
5629,FA Allen,Right hand Bat,Slow Left arm Orthodox, 
5935,Anuj Rawat,Left hand Bat, , 
7017,M Theekshana,Right hand Bat,Right arm Offbreak, 
1833,JC Archer,Right hand Bat,Right arm Fast, 
2142,DJ Willey,Left hand Bat,Left arm Fast medium, 
1849,PP Shaw,Right hand Bat,Right arm Offbreak, 
6017,Umran Malik,Right hand Bat,Right arm Fast, 
2295,SP Goswami,Left hand Bat, ,Wicketkeeper
3156,HF Gurney,Right hand Bat,Left arm Fast medium, 
2743,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper
6798,Mukesh Choudhary,Left hand Bat,Left arm Medium, 
3214,SD Lad,Right hand Bat,Right arm Offbreak, 
8305,J Little,Right hand Bat,Left arm Fast medium, 
8007,M Pathirana,Right hand Bat,Right arm Fast, 
2701,S Dube,Left hand Bat,Right arm Medium, 
3145,S Midhun,Right hand Bat,Legbreak Googly, 
2353,CJ Dala,Right hand Bat,Right arm Medium, 
6729,PVD Chameera,Right hand Bat,Right arm Fast, 
4097,PK Garg,Right hand Bat,Right arm Medium, 
7192,Aman Hakim Khan,Right hand Bat,Right arm Medium, 
6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper
4310,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox, 
4059,Ravi Bishnoi,Right hand Bat,Legbreak Googly, 
4134,KL Nagarkoti,Right hand Bat,Right arm Fast, 
4320,DR Sams,Right hand Bat,Left arm Fast medium, 
7496,DJ Mitchell,Right hand Bat,Right arm Medium, 
5422,C Sakariya,Left hand Bat,Left arm Medium fast, 
2352,S Lamichhane,Right hand Bat,Legbreak Googly, 
2910,GH Vihari,Right hand Bat,Right arm Offbreak, 
8349,RR Rossouw,Left hand Bat,Right arm Offbreak, 
4664,JR Hazlewood,Left hand Bat,Right arm Fast medium, 
8333,KR Mayers,Left hand Bat,Right arm Medium, 
5573,LI Meriwala,Left hand Bat,Left arm Fast medium, 
2894,NS Naik,Right hand Bat, ,Wicketkeeper
8191,PN Mankad,Right hand Bat,Right arm Medium, 
2349,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox, 
7621,K Kartikeya,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin", 
6520,AU Rashid,Right hand Bat,Legbreak, 
2825,CV Varun,Right hand Bat,Legbreak Googly, 
4212,Kartik Tyagi,Right hand Bat,Right arm Fast, 
4104,YBK Jaiswal,Left hand Bat,Legbreak, 
6519,IC Porel,Right hand Bat,Right arm Medium, 
1740,H Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper
5526,Virat Singh,Left hand Bat,Legbreak Googly, 
5181,Monu Kumar,Right hand Bat,Right arm Medium, 
10135,N Burger,Left hand Bat,Left arm Fast medium,Unknown
10159,SH Johnson,Left hand Bat,Left arm Fast,Unknown
10070,Sameer Rizvi,Right hand Bat,Right arm Offbreak,Unknown
10291,A Raghuvanshi,Right hand Bat,Slow Left arm Orthodox,Unknown
11192,AA Kulkarni,Right hand Bat,Right arm Medium,Unknown
10169,SZ Mulani,Left hand Bat,Slow Left arm Orthodox,Unknown
11834,Prince Yadav,Right hand Bat,Right arm Fast,Unknown
11212,RJ Gleeson,Right hand Bat,Right arm Fast Medium,Unknown
11282,MJ Suthar,Left hand Bat,Slow Left arm Orthodox,Unknown
11366,A Kamboj,Right hand Bat,Right arm Medium,Unknown
11429,V Kaverappa,Right hand Bat,Right arm Fast medium,Unknown
10232,KT Maphaka,Left hand Bat,Left arm Fast,Unknown
8808,D Jansen,Right hand Bat,Left arm Fast,Unknown
10065,R Ravindra,Left hand Bat,Slow Left arm Orthodox,Unknown
8389,Arshad Khan,Left hand Bat,Left arm Medium,Unknown
10083,Sumit Kumar,Right hand Bat,Right arm Medium fast,Unknown
10488,Saurav Chauhan,Left hand Bat,Right arm Offbreak,Unknown
11981,DL Vettori,Left hand Bat,Slow Left arm Orthodox, 
9759,Sanvir Singh,Right hand Bat,Right arm Medium, 
8769,Yudhvir Singh,Right hand Bat,Right arm Medium fast, 
8930,Liton Das,Right hand Bat,Right arm Offbreak,Wicketkeeper
12015,WPUJC Vaas,Left hand Bat,Left arm Fast medium, 
12013,AS Yadav,Right hand Bat,Right arm Offbreak, 
12127,VRV Singh,Right hand Bat,Right arm Medium fast, 
12016,RP Singh,Right hand Bat,Left arm Fast medium, 
11984,GD McGrath,Right hand Bat,Right arm Fast medium, 
11982,MF Maharoof,Right hand Bat,Right arm Fast medium, 
12295,HH Gibbs,Right hand Bat,Right arm Bowler, 
11924,LR Shukla,Right hand Bat,Right arm Medium, 
9524,Vivrant Sharma,Left hand Bat,Legbreak Googly, 
8396,MG Bracewell,Left hand Bat,Right arm Offbreak,Wicketkeeper
11926,AB Agarkar,Right hand Bat,Right arm Fast, 
12012,SB Styris,Right hand Bat,Right arm Medium, 
8890,Naveen-ul-Haq,Right hand Bat,Right arm Medium fast, 
12318,BJ Hodge,Right hand Bat,Right arm Offbreak, 
11996,S Chanderpaul,Left hand Bat,Legbreak, 
8433,Abishek Porel,Left hand Bat, ,Wicketkeeper
11963,T Kohli,Right hand Bat,Right arm Medium, 
9824,Nithish Kumar Reddy,Right hand Bat,Right arm Medium fast, 
11954,KC Sangakkara,Left hand Bat,Right arm Offbreak,Wicketkeeper
12056,Shahid Afridi,Right hand Bat,Legbreak Googly, 
12323,Umar Gul,Right hand Bat,Right arm Fast medium, 
